Jaar;Dag;Van tot datum;Weeknummer;Tijden Van ;Tijden Tot;Evenement;Locatie
2016;dinsdag;14-06-2016 t/m 17-06-2016;24;18:00;22:00;Avondvierdaagse Fletiomare;Sportpark Fletiomare
2016;woensdag;15-06-2016 t/m 19-06-2016;24;14:00;22:00;Kermis Amaliapark;Amaliapark
2016;dinsdag;14-06-2016;24;08:00;14:30;Streetwise;Musicallaan 
2016;dinsdag;14-06-2016;24;18:00;22:30;Uithof Survivalrun 2016;Olympos
2016;vrijdag;17/06/2016;24;11:00;17:00;Circus in de Zorg;Park Transwijk
2016;donderdag;16-06-2016;24;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat
2016;zaterdag;18/06/2016;24;10:00;20:00;Dag van Spanje;Domplein
2016;vrijdag;17/06/2016;24;17:00;01:00;Introductie Hofdame;Janskerkhof
2016;zondag;19-06-2016;24;11:00;19:00;SingelSwim Utrecht;Park Lepelenburg
2016;vrijdag;17/06/2016;24;20:00;22:30;Utrecht Skate Parade;Lucasbolwerk
2016;zaterdag;18/06/2016;24;06:00;23:00;Wijkfeest Wittevrouwen;Veeartsenijstraat
2016;zaterdag;18/06/2016;24;06:00;23:00;Wijkfeest Wittevrouwen;Veeartsenijpad
2016;vrijdag;17/06/2016;24;18:00;23:00;Brommerbio <3 Berlijnplein;Berlijnplein
2016;zaterdag;18/06/2016;24;11:00;18:00;Braderie Vasco da Gamalaan;Vasco da Gamalaan
2016;zondag;19/06/2016;24;11:00;16:00;Circus in de Zorg;Heukelompark
2016;zondag;19/06/2016;24;12:00;19:00;Dag van het Wilhelminapark;Wilhelminapark
2016;zaterdag;18/06/2016;24;11:00;17:00;Platen en CD Beurs;Mariaplaats
2016;zaterdag;18/06/2016;24;10:00;16:00;Puur Lunetten-Streekmarkt;Zevenwouden
2016;zaterdag;18/06/2016;24;12:00;20:00;Utrechtse Wielerweekend;Wilhelminapark
2016;zaterdag;18/06/2016;24;10:00;20:00;Volleybaltoernooi Oog in Al;Park oog in Al
2016;zaterdag;18/06/2016;24;09:00;16:00;waterwinmarkt;WKC Terwijde 
2016;zondag;19/06/2016;24;14:00;17:00;Classic Car Meeting;Dorpsplein
2016;zondag;19/06/2016;24;13:00;18:00;Kinderklapstoelconcert;Koekoeksplein
2016;zondag;19/06/2016;24;11:00;13:30;Lombok Kade Concert;Muntkade
2016;zondag;19/06/2016;24;13:00;18:00;Swan Market;Vredenburg
2016;zondag;19/06/2016;24;11:00;16:30;Utrechtse Wielerweekend;Maliebaan
2016;zaterdag;25-06-2016 t/m 26-06-2016;25;15:00;23:00;40up Zomerfestival;Botanische Tuinen
2016;donderdag;23-06-2016 t/m 25-06-2016;25;21:00;22:00;Leve de liefde;Hoge Woerd
2016;woensdag;22/06/2016;25;14:00;23:55;Nationale Haringpartij;Kasteel de Haar
2016;donderdag;23-06-2016 t/m 30-06-2016;25;12:00;18:00;Festival Bombarie;Jaarbeurs
2016;vrijdag;24-06-2016 t/m 26-06-2016;25;12:00;24:000;Lepeltje Lepeltje;Park Lepelenburg
2016;donderdag;23-06-2016;25;08:00;00:00;Bruiloft FC Donderstraat;park achter FC Donderstraat
2016;donderdag;23-06-2016;25;13:00;16:00;Golden Oldies Smaragdplein;Smaragdplein
2016;donderdag;23-06-2016;25;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat
2016;zaterdag;25-06-2016 t/m 26-06-2016;25;09:00;18:00;Braderie WKC Kanaleneiland;Hammerskjoldhof
2016;zondag;26/06/2016;25;09:00;18:00;Ladies Run;Berlijnplein
2016;vrijdag;24/06/2016;25;20:00;22:30;Utrecht Skate Parade;Lucasbolwerk
2016;zaterdag;25/06/2016;25;12:00;18:00;Le Bazarre;Mariaplaats
2016;zaterdag;25/06/2016;25;11:00;18:00;Midsummer Twijnstraat;Twijnstraat
2016;zaterdag;25/06/2016;25;19:30;22:30;Midzomerconcert;Maximapark
2016;zaterdag;25/06/2016;25;17:00;23:00;Stadsbarbecue Midzomergracht;Domplein
2016;zondag;26/06/2016;25;13:00;19:00;activiteitendagen voor de parkbezoekers;Griftpark
2016;zondag;26/06/2016;25;13:00;18:00;Bewoners samen in beweging door cultuur, dans en muziek;Tolsteegplantsoen
2016;zondag;26/06/2016;25;09:30;18:00;Hondadag 2016;Voorveldselaan
2016;zondag;26/06/2016;25;13:00;17:00;Lazy Sunday Afternoons;Hoge Woerd
2016;zondag;26/06/2016;25;13:00;21:00;Midzomergracht Parkdag;Griftpark
