"";"location_adress";"year";"day";"date_from_to";"weeknr";"time_from";"time_to";"event_naam";"location";"openbareruimtenaam";"rdx";"rdy";"lon.x";"lat.x";"nday";"location_ch";"lon.y";"lat.y"
"4284";"wijde begijnestraat,utrecht";2014;"vrijdag";"25-04-2014 t/m 26-04-2014";"17";"18:00                     11:00";"01:00                          18:00 ";"Koningsdag Opium";"Wijde Begijnestraat";"Wijde Begijnestraat";136826;456447;5,121979;52,095975;"vrijdag";"Wijde Begijnestraat";5,1215533;52,0959581
"4285";"wijde begijnestraat,utrecht";2016;"zondag";"15-05-2016";"19";"15:00";"21:00";"Klein New Orleans";"Wijde Begijnestraat";"Wijde Begijnestraat";136826;456447;5,121979;52,095975;"zondag";"Wijde Begijnestraat";5,1215533;52,0959581
"4286";"wijde begijnestraat,utrecht";2011;"vrijdag";"29-04-2011 t/m 30-04-2011";"17";"18:00 11:00";"00:00 15:00";"Koninginnedag Wijde Begijnestraat";"Wijde Begijnestraat";"Wijde Begijnestraat";136826;456447;5,121979;52,095975;"vrijdag";"Wijde Begijnestraat";5,1215533;52,0959581
"4287";"wijde begijnestraat,utrecht";2015;"zondag";"26-04-2015 t/m 27-04-2015";"17";"18:00";"01:00";"Evenementenplein Wijde begijnestraat";"Wijde begijnestraat";"Wijde Begijnestraat";136826;456447;5,121979;52,095975;"zondag";"Wijde begijnestraat";5,1215533;52,0959581
"4288";"wijnland,utrecht";2011;"donderdag";"10-11-2011";"45";"08:30";"15:15";"Streetwise Vleuten";"Wijnland";"Wijnland";129715;457976;5,018103;52,109436;"donderdag";"Wijnland";5,0192311;52,1090994
"4289";"wijnland,utrecht";2013;"donderdag";"17-10-2013";"42";"8:30";"15:15";"ANWB Streetwise Wijnland";"Wijnland";"Wijnland";129715;457976;5,018103;52,109436;"donderdag";"Wijnland";5,0192311;52,1090994
"4290";"wilem de zwijgerplantsoen,utrecht";2014;"dinsdag";"11/11/2014";"46";"18:30";"";"lampionnenoptocht tuindorp";"Wilem de Zwijgerplantsoen";"";NA;NA;NA;NA;"dinsdag";"Wilem de Zwijgerplantsoen";5,1294051;52,1076317
"4291";"wilem de zwijgerplantsoen,utrecht";2012;"woensdag";"06/06/2012";"23";"13:00";"16:00";"Straattekenen";"Wilem de Zwijgerplantsoen";"";NA;NA;NA;NA;"woensdag";"Wilem de Zwijgerplantsoen";5,1294051;52,1076317
"4292";"wilhelminapark en route naar willemstraat,utrecht";2011;"zaterdag";"05-03-2011";"9";"12:30";"14:30";"Carnavalsoptocht";"Wilhelminapark en route naar Willemstraat";"";NA;NA;NA;NA;"zaterdag";"Wilhelminapark en route naar Willemstraat";NA;NA
"4293";"wilhelminapark en route,utrecht";2016;"vrijdag";"16/12/2016";"50";"18:00";"20:00";"Lichtjestocht in Oost";"Wilhelminapark en route";"";NA;NA;NA;NA;"vrijdag";"Wilhelminapark en route";5,1386122;52,0878329
"4294";"wilhelminapark,utrecht";2016;"zondag";"19/06/2016";"24";"12:00";"19:00";"Dag van het Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4295";"wilhelminapark,utrecht";2014;"zondag";"10/08/2014";"32";"13:00";"21:00";"USC Chilldag";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4296";"wilhelminapark,utrecht";2012;"vrijdag";"28-09-2012 t/m 30-09-2012";"39";"16:00";"21:00";"Magic Circus";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4297";"wilhelminapark,utrecht";2014;"maandag";"11-08-2014";"33";"16:30";"17:30";"UIT Straatparade";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4298";"wilhelminapark,utrecht";2014;"maandag";"11-08-2014";"33";"10:00";"14:30";"UIT Lunches";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4299";"wilhelminapark,utrecht";2015;"maandag";"10-08-2015 t/m 14-08-2015";"33";"11:00";"23:00";"UIT";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4300";"wilhelminapark,utrecht";2013;"zaterdag";"22-06-2013";"25";"10:00";"18:00";"Kom over de Brug (zaterdag)";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4301";"wilhelminapark,utrecht";2013;"woensdag";"24-04-2013";"17";"14:00";"16:00";"Atletiek in het park 1";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4302";"wilhelminapark,utrecht";2012;"dinsdag";"14/08/2012";"33";"11:30";"15:00";"UIT LunchesXtreme";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"dinsdag";"Wilhelminapark";5,1418167;52,0905758
"4303";"wilhelminapark,utrecht";2011;"zondag";"29-05-2011";"21";"13:00";"19:00";"Dag van het Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4304";"wilhelminapark,utrecht";2014;"dinsdag";"12/08/2014";"33";"10:30";"12:30";"Workshop Rugby";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"dinsdag";"Wilhelminapark";5,1418167;52,0905758
