year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Korte Minrebroederstraat ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Smakkelaarsveld  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Nicolaaskerkhof  ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Achter de Dom ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Pieterskerkhof ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Lepelenburg ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Jaarbeursplein ;;;;;
2011;maandag;21-03-2011 t/m 11-04-2011;12;;;Objectvergunning Liszt Concours;Vredenburg ;;;;;
2011;zaterdag;26-03-2011;12;10:00;14:00;Rommelmarkt Scouting Hoograven;Verlengde Hoogravenseweg;Verlengde Hoogravenseweg;136318;452573;5.114781;52.061140
2011;zaterdag;26-03-2011;12;;;Parapluvergunning Korendag;WKC Kanaleneiland;;;;;
2011;maandag;28-03-2011;13;10:00;14:00;Radio 538 War Child;Vredenburg;Vredenburg;136182;456134;5.112608;52.093141
2011;woensdag;30-03-2011;13;17:00;20:00;Aftrap 50 jaar Overvecht;Neckardreef ;;;;;
2011;donderdag;31-03-2011;13;11:00;15:00;Filmopnames Kaasfabrikant;Vredenburg;Vredenburg;136182;456134;5.112608;52.093141
2011;vrijdag;01-04-2011;13;;;Objectvergunning openbaar ministerie;Vrouwe Justitiaplein;Vrouwe Justitiaplein;136440;455362;5.116415;52.086214
2011;vrijdag;01-04-2011 t/m 28-04-2011;13;;;Objectvergunning Vieja Utrecht;Janskerkhof;Janskerkhof;136746;456088;5.120832;52.092745
2011;zaterdag;02-04-2011;13;09:00;17:00;Braderie Plantage;WKC Plantage;;;;;
2011;zondag;03-04-2011;13;08:00;18:00;Brocante markt;Mariaplaats;Mariaplaats;136563;455768;5.118189;52.089861
2011;zondag;03-04-2011;13;;;Parapluvergunning Belangenvereniging Hoog Catharijne;Hoog Catharijne;;;;;
2011;zondag;03-04-2011 t/m 25-09-2011;13;11:00;18:00;Parkpeddelaars;Griftpark;;;;;
2011;vrijdag;05-04-2011 t/m 01-07-2011;14;;;Lustrumviering UU Fotopanelen;Uithof;;;;;
2011;donderdag;07-04-2011;14;10:00;20:00;Platen en CD Beurs;Vredenburg;Vredenburg;136182;456134;5.112608;52.093141
2011;vrijdag;08-04-2011 t/m 09-04-2011;14;14:00;00:00;Dropstuff;Neude;Neude;136588;456080;5.118539;52.092668
2011;donderdag;07-04-2011;14;10:00;11:00;Kunstuitdaging;Domplein;Domplein;136760;455888;5.121057;52.090953
2011;zaterdag;09-04-2011;14;11:00;01:00;Grachtenrace Rondom;van Zijstweg/Veilinghavenkade;;;;;
2011;zaterdag;09-04-2011;14;12:00;23:00;Lustrumviering UU (UCU History and Heritage Festival);Campusplein 1;;;;;
2011;zaterdag;09-04-2011 t/m 21-04-2011;14;16:30;19:00; Spiegeltent City2Cities;Hamburgerstraat;Hamburgerstraat;136822;455619;5.121977;52.088530
2011;;11-04-2011 t/m 18-04-2011;15;;;Objectvergunning Culturele zondag;Heidelberglaan;Heidelberglaan;140410;455234;5.174346;52.085184
2011;vrijdag;15-04-2011 t/m 16-04-2011;15;19:30 21:00;01:00 01:00;Tentfeest KPJ De Meern;Weiland gelegen aan de overzijde van AC Restaurant De Meern;;;;;
2011;donderdag;14-04-2011 t/m 16-04-2011;15;;;Parapluvergunning Modellenwedstrijd;WKC Kanaleneiland;;;;;
2011;vrijdag;15-04-2011;15;13:15;15:15;Sponsorloop Jenaplanschool;Oude kerkstraat;;;;;
2011;zaterdag;16-04-2011;15;07:00;18:00;Rivierenwijkfeest;Amstelstraat;Amstelstraat;136208;453883;5.113108;52.072906
2011;zaterdag;16-04-2011;15;07:00;18:00;Rivierenwijkfeest;Zaanstraat;Zaanstraat;136177;453810;5.112661;52.072249
2011;zaterdag;16-04-2011;15;07:00;18:00;Rivierenwijkfeest;Schipbeekstraat;Schipbeekstraat;136211;454010;5.113151;52.074056
2011;zaterdag;16-04-2011;15;07:00;18:00;Rivierenwijkfeest;Merwedekade;Merwedekade;136029;454406;5.110474;52.077604
2011;zaterdag;16-04-2011;15;07:00;18:00;Rivierenwijkfeest;Spaarnestraat;Spaarnestraat;136122;453968;5.111854;52.073672
2011;zaterdag;16-04-2011 t/m 17-04-2011;15;10:00 10:00 ;22:00 19:00;Elf Fantasy Fair;Kasteel de Haar;;;;;
2011;zaterdag;16-04-2011;15;07:30;16:00;Hobbeltjestoer;Manitobadreef en route;;;;;
